idx,NomeEvento,NazioneEvento,LocalitaEvento,DataEvento
82df7f42f5dcc1d7bd69c86c27218999,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
25fdb854a0515820a4a9fcfc91efb87f,TEDxSheffieldHallamUniversity,United Kingdom,Sheffield,25-02-17
1279f3ed8ea4db5180801add2a44fc32,TEDxBergamo,Italy,Bergamo,14-05-17
d1a6b5c637e9fa5810ef0b9e01b24fbf,TEDxMoosach,Germany,Munchen,18-12-17
7d46d02c25484366d80afbc67a9d2782,TEDxDelhiSalon,India,New delhi,13-9-17
a3100ff47b3354f67a93662731d4715c,TEDxYouth,Canada,Toronto,12-11-16
d77443b661a7afc3951eb8bbcb457d8f,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
a346b55038a0273ca1da31fb3b2c834b,TEDxHKBU,China,Hong Kong,18-11-17
f8600aeadde3ceff64053df2732835f5,TEDxMoosach,Germany,Munchen,18-12-17
762501425e2023a0a07c9b4ac641147d,TEDxMarseille,UnitedStates,Marseille,28-10-17
3c75ea6d2c392504058f4d3ff53a37c4,TEDxMoosach,Germany,Munchen,18-12-17
a8bb0298248e9edb89c30cf4fd0a43a3,TEDxKreuzberg,Germany,Berlin,12-04-17
9a8df7e2e0889365704c3053d46666c2,TEDxDeerPark,UnitedStates,NewYork,11-02-17
8cee6a4a37c04bd479313055b416a562,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
c4b0ade4a4862ecfc44b19adb7db339d,TEDxSheffieldHallamUniversity,United Kingdom,Sheffield,25-02-17
54e9228ba49b129c17e2223019a6cfb1,TEDxSheffieldHallamUniversity,United Kingdom,Sheffield,25-02-17
a24941d751c6b8761c43ba90c799b8a1,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
8f1b057fb11ac18259a73c3881e641bd,TEDxBergamo,Italy,Bergamo,14-05-17
0e09166157914f664ff95863b5179adb,TEDxHKBU,China,Hong Kong,18-11-17
bcf869f73e288d6657541e7f5ce0c8da,TEDxDeerPark,UnitedStates,NewYork,11-02-17
39970e32cc3df972c9a2d910d800e89b,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
0012b326603c9533cb1fd12bca002b6c,TEDxMoosach,Germany,Munchen,18-12-17
88636d3f7a6d6bb707881ab37e106e2f,TEDxDelhiSalon,India,New delhi,13-9-17
9077b70c7eb2bc55d9bc85c62acf7b00,TEDxBergamo,Italy,Bergamo,14-05-17
f0fbc919703c9feca50aff16e04b5c52,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
fcf48058b33519bfeb0658bb65a9403f,TEDxYouth,Canada,Toronto,12-11-16
62c37a274a36d6755bacd26f17d8966b,TEDxTiburtinoLive,Italy,Roma,27-04-17
16e8d15e1ca25f6553da05ba2b2b8a7c,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
01f4042044d1b4f9bcaedcafd32d52e5,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
0cda4b75568a83f0b3f75677181c7523,TEDxDelhiSalon,India,New delhi,13-9-17
cc166b2c30e73e7152c990ce63d7d9dc,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
362a8ec8ff81d10b60dd583717b330b4,TEDxTiburtinoLive,Italy,Roma,27-04-17
c04bddd89757abe0f430d79aa8709328,TEDxDelhiSalon,India,New delhi,13-9-17
96977c97444a5cb436edf3a35d178d00,TEDxHKBU,China,Hong Kong,18-11-17
f04338ccc86b18cbeab9e3d2a9c813d8,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
3b28956b13b5a338ffe1c19b3d1f8a42,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
6f31e28d2b01fce667c6cc5d95e0dd7c,TEDxYouth,Canada,Toronto,12-11-16
265dfbdb0ece879401d802befc2fca6f,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
9b8d8860c55346edf32e43394828c76f,TEDxMoosach,Germany,Munchen,18-12-17
1f486fca449d3e6e230264c718c6f7e1,TEDxHKBU,China,Hong Kong,18-11-17
3af8102dfeaedcc68682c3b5f9aaf61b,TEDxHKBU,China,Hong Kong,18-11-17
485f00a800b17d657821772277703411,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
ea11b1f02455251732dd15dffa686131,TEDxHKBU,China,Hong Kong,18-11-17
a33a179396b2f700fcabe74a7ac5ca64,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
ea52e2fcfa2a22a853085adccf943b9f,TEDxMarseille,UnitedStates,Marseille,28-10-17
aafcd72d5296baeaeb94ac15d616099c,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
946529e12e5b09844a0b6b2f788d4c52,TEDxYouth,Canada,Toronto,12-11-16
c007dd39a24b3809a75663913553197b,TEDxDelhiSalon,India,New delhi,13-9-17
432e82482aa8bf36d58200a91ff41adf,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
200d9e754623268aaee237e3fab12135,TEDxYouth,Canada,Toronto,12-11-16
5e9f21789507aa379362b4b70ecbdffc,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
cf5dc21192f776780b1e4540c366eeae,TEDxYouth,Canada,Toronto,12-11-16
0d2724cac496b18e0212ff00fe1a1bdc,TEDxMarseille,UnitedStates,Marseille,28-10-17
ee823c1c7f6a4f1c99d6232726bf5bd9,TEDxBergamo,Italy,Bergamo,14-05-17
80debe7a42c065ef82811c49ee5a56b7,TEDxYouth,Canada,Toronto,12-11-16
2e4d2032ea0f0424ef2e5c0e54623374,TEDxTiburtinoLive,Italy,Roma,27-04-17
1bdf81004769874c2f65134295650941,TEDxHKBU,China,Hong Kong,18-11-17
66d771c5b2cc213c524f4e16ddb919ee,TEDxTiburtinoLive,Italy,Roma,27-04-17
989350baed4da5f4e3d52486be7ed5d8,TEDxDelhiSalon,India,New delhi,13-9-17
11903323fc3152a24bf0e8692a5b584e,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
560f4e6a1c8b8fb81427a7d99b8d047c,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
4477656eee25a43197215bc346059f9e,TEDxDelhiSalon,India,New delhi,13-9-17
fe73606f1c011aca75d7d906f828ef67,TEDxMarseille,UnitedStates,Marseille,28-10-17
6dd23f8ea05e0a00fc03b90724267359,TEDxMarseille,UnitedStates,Marseille,28-10-17
d144d699fa66e460b924268fe4f55003,TEDxDelhiSalon,India,New delhi,13-9-17
f697438c477bdf0099a7961b39948a16,TEDxSheffieldHallamUniversity,United Kingdom,Sheffield,25-02-17
8fe9e97bfecf80c7e2458b4cd388110b,TEDxTiburtinoLive,Italy,Roma,27-04-17
263795257a33fb28d1fbb8ca814aeef0,TEDxBergamo,Italy,Bergamo,14-05-17
db4d42a49f8543eb393cb9ec81e3d3da,TEDxDelhiSalon,India,New delhi,13-9-17
0b99a6c8e88270f708ba7e04e28295f7,TEDxHKBU,China,Hong Kong,18-11-17
f953f79ac7dc6d8af58707cfee6af60c,TEDxDeerPark,UnitedStates,NewYork,11-02-17
983a69105c398079f3105c455152d66e,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
15cf3b4f8e4fa056a17a42e60e0f6ef9,TEDxYouth,Canada,Toronto,12-11-16
373c64beb2d40ea00cde820b9893e7de,TEDxBergamo,Italy,Bergamo,14-05-17
f5950f445690ca953fdcc1fb8d77eab8,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
af59de6c826c41b2d03ae2413306c938,TEDxBergamo,Italy,Bergamo,14-05-17
4dc169ad93ffd98f766f8aa237ecb074,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
bd81c12d8f4531e9bb5e67ed9adc5ff2,TEDxMoosach,Germany,Munchen,18-12-17
f67b263e58adf43be9e9032a702b92a4,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
9997c28d30bd37c79458c0cb18330263,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
",Posted Nov 2019,https://www.ted",TEDxBergamo,Italy,Bergamo,14-05-17
3e430468ac8e01aa37f9284661691e04,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
5b2129ee6abd28f954a157d4925bd144,TEDxKreuzberg,Germany,Berlin,12-04-17
0b1f37c673811ec8c699c5556c262193,TEDxHKBU,China,Hong Kong,18-11-17
aebf2037f780baf51230a59db2940a0e,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
fc7e034529bbea816687c41a598927e0,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
b22076c67d017ad76778695b5bc66edb,TEDxKreuzberg,Germany,Berlin,12-04-17
c0d280d12873124e7d1f15a104ec0454,TEDxDelhiSalon,India,New delhi,13-9-17
f4c74f0eea5d25b133fe719a7da724e5,TEDxDelhiSalon,India,New delhi,13-9-17
e08fbd542f31682155b66dcf17953f45,TEDxUniversityofMacau,China,Macao,21-01-17
86612338e456c08ea8e8c0ebc08e4745,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
338e9e80af87367e173d7595471ef166,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
54662d06483c07bd21da87a7f5421809,TEDxDelhiSalon,India,New delhi,13-9-17
8f6f5b78fba32dc067ecd0b7fd8c493e,TEDxMarseille,UnitedStates,Marseille,28-10-17
20a242791f3f49c39fc35f730a440b57,TEDxTiburtinoLive,Italy,Roma,27-04-17
9542b55449a28df3c8cd7d44866a5c58,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
69f758bea1303ac0661becac9d4f7901,TEDxHKBU,China,Hong Kong,18-11-17
",Posted Oct 2019,https://www.ted",TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
340c3f91dacfae9b7e8c576eb363ff83,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
62f7b593e751f93f113f8fc880c67e36,TEDxHKBU,China,Hong Kong,18-11-17
49be5d8b3fb340a98b499150169783ef,TEDxDeerPark,UnitedStates,NewYork,11-02-17
d78e90d06932b53ae39a42660e302c83,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
9e2ca4b14ac1ade117ffcf84de3a7fbd,TEDxDeerPark,UnitedStates,NewYork,11-02-17
7c9c81afe7ee584102ec8febac307138,TEDxBergamo,Italy,Bergamo,14-05-17
7bbc3d40a0e4d31e393203131c021231,TEDxMoosach,Germany,Munchen,18-12-17
fcd19c3db93dca98af216a3fb339631a,TEDxBergamo,Italy,Bergamo,14-05-17
52cb61597688f31eb0b7c93c66314751,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
6c4ac072b9f0cc11832251e6ff4750d1,TEDxYouth,Canada,Toronto,12-11-16
b1b0dd7e9dcec1b34c2125fe396e9140,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
a8d48b6f59dbfa07ad4ffdd18abd1b6f,TEDxMarseille,UnitedStates,Marseille,28-10-17
3c372f1ebefc6c9a5d51cd92c5e1e931,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
891ea7343e1c4bf16d3dd62094701c49,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
a10cbd200fac325b2d802f1734912f94,TEDxMoosach,Germany,Munchen,18-12-17
9219afd33bf93d12bb15a6a41d5907ba,TEDxBergamo,Italy,Bergamo,14-05-17
5f06964ceae7df48755874cb934e1b57,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
e6ef242eebb4423084097ba6a2dca00c,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
c27d1703d0bcc06efbae5efe61ca7ea2,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
55778ef23d30131df8de4a7c44817372,TEDxMarseille,UnitedStates,Marseille,28-10-17
d46ce1af590233424313803da902361a,TEDxHKBU,China,Hong Kong,18-11-17
ff1b281e654d2862ef87b7e1719afdfd,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
4da96b8e5c9530dc46f238e04acd64fa,TEDxYouth,Canada,Toronto,12-11-16
001f72a2d4937ba8b74810fc1b092195,TEDxDelhiSalon,India,New delhi,13-9-17
b0c0d68c4c51fe4f79cf37c9780c4c5f,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
83647972ecef1c44a9fcc301dd748624,TEDxMarseille,UnitedStates,Marseille,28-10-17
bf7a6002d035812a668e0600acd7de4f,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
5b0f07d6a87a131c58e4543ddbe541b6,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
3e07176c2b8c3dc4f528ed8ca2157646,TEDxHKBU,China,Hong Kong,18-11-17
bce9ed19c9193b0634a7d891b288df56,TEDxMoosach,Germany,Munchen,18-12-17
a68d56c4d4dc77ad69c71d1d1868532a,TEDxTiburtinoLive,Italy,Roma,27-04-17
10844c384cb4894bfa419520f408b170,TEDxKreuzberg,Germany,Berlin,12-04-17
88eedd6a433550fefa5d29641e11a1b5,TEDxTiburtinoLive,Italy,Roma,27-04-17
233f483356eb65899fe0f763e5751e3a,TEDxTiburtinoLive,Italy,Roma,27-04-17
9a66353acd80e22226098230b082c74a,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
10fb34eb3016966d0264897d715a2b98,TEDxSheffieldHallamUniversity,United Kingdom,Sheffield,25-02-17
d569d72cda8c4b47a2985b781dad9f2d,TEDxDelhiSalon,India,New delhi,13-9-17
c0fc01e691009dd9c349999d2d162c8d,TEDxMoosach,Germany,Munchen,18-12-17
6f72c079924e401dad4d4d462f814294,TEDxTiburtinoLive,Italy,Roma,27-04-17
8e03785d09b786624ae54ac4ee6870ba,TEDxMarseille,UnitedStates,Marseille,28-10-17
c69ea78c11c10fbb29bdaff7c5ed3183,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
5ec403477eef58d313fb73635780820a,TEDxYouth,Canada,Toronto,12-11-16
51045b09bb4e28134e81c661135eb398,TEDxYouth,Canada,Toronto,12-11-16
253553e78a5d1721e24639ad070a37fb,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
528b2f08863585a1e10ee888aba99584,TEDxBergamo,Italy,Bergamo,14-05-17
ef659d9928b6a25dff5478563d586531,TEDxMarseille,UnitedStates,Marseille,28-10-17
5b3ae14713d47f1832c3cebbcbe736f1,TEDxDeerPark,UnitedStates,NewYork,11-02-17
85d8ff6f7f4dcc797e848350db273542,TEDxMoosach,Germany,Munchen,18-12-17
6ca592730258f404ff381819e66c289d,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
96a47d3d418a856537f69f72de886301,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
562a07352caae72ed8c26edb23c28a09,TEDxBergamo,Italy,Bergamo,14-05-17
14a975022a84841132710c3f988ff98c,TEDxBergamo,Italy,Bergamo,14-05-17
b7f12cfcea45028ccd2b8915ee7bef69,TEDxMoosach,Germany,Munchen,18-12-17
4047defaf806e0e569207c179a83ca77,TEDxBergamo,Italy,Bergamo,14-05-17
3a4fd1c86bd20458dce26f7f084d7a0e,TEDxMoosach,Germany,Munchen,18-12-17
48058c183a4ea98af271d2d507989af1,TEDxHKBU,China,Hong Kong,18-11-17
af8476a4fa7651e2f1286c40767431b6,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
07711bc6fd10d7d389361cd0346a13cd,TEDxBergamo,Italy,Bergamo,14-05-17
07382a6680cce049f2483f1638a29665,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
4fb5441c9c289ff7847b088874296e3b,TEDxMarseille,UnitedStates,Marseille,28-10-17
3f39e2e04d1c99a387f1dcd40876d645,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
86729a80445dd34bc1db9a3c418bbfaf,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
5db84f9201286e101dda6fe3163bae9f,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
5c8c2821a244cf3bf0e6f0a6ff56cf71,TEDxKreuzberg,Germany,Berlin,12-04-17
48acccf94efc150f2beeedb37202a66d,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
b2eadcbc423829f7c107bbc84c6aeb2f,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
fac821ca3f7758250d60d7388b1b293f,TEDxUniversityofMacau,China,Macao,21-01-17
a21f021116938a05908e7cd6f0511e16,TEDxMarseille,UnitedStates,Marseille,28-10-17
96714fe5f18237698542bdf1d79768fc,TEDxYouth,Canada,Toronto,12-11-16
19b65f184dd2bbf8862de0a054b1e747,TEDxHKBU,China,Hong Kong,18-11-17
078766d6cc461cf71d45dc268b66db95,TEDxMarseille,UnitedStates,Marseille,28-10-17
595cbb65b42b4e07057a235a090d8baf,TEDxBergamo,Italy,Bergamo,14-05-17
97c8a483a81dd2c0ab5348fc294f8892,TEDxUniversityofMacau,China,Macao,21-01-17
408c50d87158f45f79e9318fec1e6c5c,TEDxUniversityofMacau,China,Macao,21-01-17
8966ee90a222abefb727a0cf77b9d9bf,TEDxDeerPark,UnitedStates,NewYork,11-02-17
05a2cfb164726acc9438e6bdcf739ca1,TEDxBergamo,Italy,Bergamo,14-05-17
5dfb95c12d93d7de51c99daa000bf4ec,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
d24d26e6d0228e7451c3aca5655ddda8,TEDxUniversityofMacau,China,Macao,21-01-17
0825f868a6b78a1685225e9243c6f4ea,TEDxBergamo,Italy,Bergamo,14-05-17
59f1d8ebdbfacb7f7e692d9ac8c1cf99,TEDxYouth,Canada,Toronto,12-11-16
a8cb09f4117a7e7a71bd6a41c44a5ca1,TEDxCrenshaw,UnitedStates,LosAngeles,7-10-17
1d2762dc43410227bdd37283d804882d,TEDxTiburtinoLive,Italy,Roma,27-04-17
f6900fe7ae45b4ed2e9807d073446e08,TEDxTiburtinoLive,Italy,Roma,27-04-17
8080fb729b4dcca5748a787516fb98dc,TEDxYouth,Canada,Toronto,12-11-16
248fc4c4b7748475522b71db1961ab69,TEDxSheffieldHallamUniversity,United Kingdom,Sheffield,25-02-17
d44b314be9e44c8476512d8c178997c0,TEDxDelhiSalon,India,New delhi,13-9-17
b8cdfc4eb7713a4076e82400e747a3ac,TEDxYouth,Canada,Toronto,12-11-16
1156970be3f0ddeec0fa3a6d9baf2e45,TEDxBergamo,Italy,Bergamo,14-05-17
269c532d74c2ba2264ec4791bebc460e,TEDxBergamo,Italy,Bergamo,14-05-17
e4dcab0ef12588f0a4aff6016f62f5a2,TEDxRioLive,Brasil,Rio de Janeiro,3-7-17
9c18a60128ebf62a9056a269a0a95463,TEDxUniversityofMacau,China,Macao,21-01-17
",Posted Sep 2019,https://www.ted",TEDxMoosach,Germany,Munchen,18-12-17
84af3d58096617d2162efc8483c6712c,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
35b90874205ea8e6ff0e89b33099cd7e,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
1a5be72908771741ae0786bf7a6ef972,TEDxDelhiSalon,India,New delhi,13-9-17
7321a30f361004443e406eee19848b51,TEDxMoosach,Germany,Munchen,18-12-17
8d07f7034588a7f6b73234b8b4113116,TEDxDelhiSalon,India,New delhi,13-9-17
bdb110507d5d7947f4c3a967f98071cb,TEDxBergamo,Italy,Bergamo,14-05-17
7f8edcf7ce99919d75e8faad6be62122,TEDxUniversityofMacau,China,Macao,21-01-17
00f60da0d8386a1f7ab7e4000274ecdb,TEDxHKBU,China,Hong Kong,18-11-17
66555aa9421505769bca52219a4738e6,TEDxHKBU,China,Hong Kong,18-11-17
335778b930da4f55948ee9f28f10ac67,TEDxBergamo,Italy,Bergamo,14-05-17
969d1d32cf12962efe37a09a78d3abf9,TEDxSheffieldHallamUniversity,United Kingdom,Sheffield,25-02-17
ddbf8eaf335a3c1f5e70ecc73ebe9326,TEDxUniversityofMacau,China,Macao,21-01-17
c0ae3536ac6c3e750ef9af9706fe1c28,TEDxKreuzberg,Germany,Berlin,12-04-17
2f4231f555036504452471e63e28a2b3,TEDxKreuzberg,Germany,Berlin,12-04-17
f80d657af38b734e9d1aa3cef02b361f,TEDxTiburtinoLive,Italy,Roma,27-04-17
ac6d531f0adab04ee36813f1350d93ef,TEDxLeicesterSalon,United Kingdom,Leicester,3-05-17
8f3baa0266ddc9a088a7a4ac197f0ac0,TEDxZumbroRiver,UnitedStates,Rochester,18-05-17
